Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.328095374224203,4.35055126948676,300,34,229,26,4,1,1614.5212572613848,373.0327355715405,2212.5221717492223,508.5613373337481
"[4.50, 4.80)",4.65,4.650115709429724,4.640607076532961,196,11,178,9,5,0,1259.0746292210017,270.76199989342,1562.1423445719317,336.62456631407423
"[4.80, 5.10)",4.949999999999999,4.921324315076389,4.925077476039825,141,4,110,3,4,0,810.2185029432065,164.63424295389692,1241.840137453992,252.14631515858616
"[5.10, 5.40)",5.25,5.213243763285399,5.226016812767394,70,1,91,2,5,0,614.4417663564816,117.8616988301462,566.3022619777757,108.36212018956269
"[5.40, 5.70)",5.550000000000001,5.53482906906693,5.555589202598642,63,1,55,1,0,0,564.4366054968337,101.97904911849199,696.2753609614372,125.32880592318678
"[5.70, 6.00)",5.85,5.839900636672973,5.830718825498505,42,0,31,1,0,0,341.2305955837178,58.43089066291356,474.01763264426006,81.29660284274354
"[6.00, 6.30)",6.15,6.130061799775295,6.103524188701569,26,0,23,1,1,0,216.91231212447576,35.38501229015782,258.7917882196837,42.40038709091078
"[6.30, 6.60)",6.449999999999999,6.442047890460748,6.354066285617683,7,0,9,0,1,0,70.12249255159364,10.885124380312288,55.79627361927394,8.781191619855749
"[6.60, 6.90)",6.75,6.734144740634495,6.7369845595293825,9,0,9,0,0,0,118.58852593581531,17.610035201684994,116.39766553759384,17.277413137744357
"[6.90, 7.50)",7.2,7.163652896881103,7.177018125256131,5,0,15,0,0,0,190.9452698973507,26.654735041738842,62.941398493267144,8.769853634864676
"[7.50, 8.70)",8.1,7.653536701202393,7.873049009724435,5,0,5,0,0,0,73.86380415708284,9.650937473845081,67.60078440818423,8.586353815997688
