,N (dimuon events),$<\epsilon_t>$,$\delta <\epsilon_t>$ (propagated),$\delta_{stat} <\epsilon_t>$,$1/<\epsilon_t>$,$\delta(1/<\epsilon_t>)$,$<\epsilon_t^2>$,$(<\epsilon_t>)^2$,$\%\ of\ events\ removed$
"[0.0, 0.05)",289,0.629334163183391,0.05269673047598986,0.011686483147163472,1.5889809555890821,0.13305189205779405,0.4355313426825814,0.39606148894973897,0.0
"[0.05, 0.1)",430,0.6412912665674417,0.03618915343741017,0.00967816308122361,1.5593538414339758,0.0879969810487579,0.45153123004518025,0.4112544885756736,0.0
"[0.1, 0.15)",680,0.6601006487794118,0.02578162076233051,0.006868669521886835,1.5149204925780548,0.0591684096916896,0.4678143287996104,0.43573286651900034,0.0
"[0.15, 0.2)",1068,0.6619278677415731,0.0203142825939046,0.005466010506792757,1.5107386298931524,0.046363921129181765,0.47005742737177936,0.43814850209290546,0.0
"[0.2, 0.25)",1513,0.6790859278625248,0.016334736178332324,0.0044741037242489535,1.4725676957370875,0.03542115044308442,0.4914443324776731,0.4611576974209062,0.0
"[0.25, 0.3)",2270,0.7000514895471366,0.013296863826637605,0.0036603787019196185,1.4284663555917867,0.02713246510413767,0.5204863930052942,0.4900720880171647,0.044033465433729636
"[0.3, 0.35)",3373,0.7164871593062555,0.009600085098588881,0.0029095477493997603,1.3956984253119875,0.018700717076262884,0.5419078733724111,0.5133538494507476,0.0
"[0.35, 0.4)",4929,0.7358934719691621,0.007535900994078894,0.0023335333959355648,1.3588923371260797,0.013915707237886394,0.5683794707907546,0.5415392020868279,0.02028397565922921
"[0.4, 0.45)",7720,0.7532648154414507,0.005654616757779689,0.0017577292279327484,1.3275543733102018,0.009965700046383044,0.5912596871210312,0.5674078821820429,0.012951690195570522
"[0.45, 0.5)",11386,0.7650815864043562,0.004316446851038245,0.001477817209695622,1.3070501470303144,0.007374131846268614,0.6102162168832397,0.5853498338550064,0.0
"[0.5, 0.55)",14590,0.7716404926467444,0.0038059558455898574,0.0012135039914441018,1.2959402850542192,0.006391955256935285,0.6169141662565991,0.5954290498921104,0.0068535398533342475
"[0.55, 0.6)",15527,0.769527592305017,0.0037116372027089788,0.0012405607981976487,1.29949856249421,0.006267828805167202,0.6160686300356794,0.5921727153187565,0.006439979392065945
"[0.6, 0.65)",15277,0.778847920707076,0.0037137899724497404,0.0012409496016914706,1.2839477045687577,0.006122263388786361,0.6301299900869699,0.6066040835897357,0.0
"[0.65, 0.7)",12748,0.7822718913517416,0.00417670104051791,0.001265444558179678,1.278327920324519,0.006825240193299741,0.63236332090446,0.611949311999031,0.01568627450980392
"[0.7, 0.75)",9516,0.7742666631862126,0.006194722849180365,0.001576230264554076,1.2915446932518881,0.01033334095659097,0.6231313852965764,0.599488865721512,0.02101281781886951
"[0.75, 0.8)",6271,0.7574462003284963,0.02135406619468823,0.003430741701597615,1.3202257791593788,0.03722005426639749,0.6475343450474169,0.5737247463920766,0.0
"[0.8, 0.85)",3892,0.0,0.0,0.0,,,0.0,0.0,0.05136106831022085
